gpu_id,gpu_name,gpu_usage,gpu_free_memory,gpu_used_memory,gpu_total_memory,gpu_temperature,gpu_uuid,cpu_usage,ram_total,ram_available,ram_used,memory_usage,datetime
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.08GB,9.27GB,73.6%,2022-04-07 15:44:47.160179
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.5%,15.44GB,4.11GB,9.25GB,73.4%,2022-04-07 15:45:18.893506
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.5%,15.44GB,4.12GB,9.24GB,73.3%,2022-04-07 15:45:50.638232
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,58.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.14GB,9.22GB,73.2%,2022-04-07 15:46:22.385496
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.5%,15.44GB,4.14GB,9.22GB,73.2%,2022-04-07 15:46:54.134236
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.12GB,9.24GB,73.3%,2022-04-07 15:47:25.872078
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.7%,15.44GB,4.13GB,9.23GB,73.2%,2022-04-07 15:47:57.613177
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,58.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,33.3%,15.44GB,4.13GB,9.23GB,73.3%,2022-04-07 15:48:29.367898
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.4%,15.44GB,4.10GB,9.25GB,73.4%,2022-04-07 15:49:01.102564
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,54.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.7%,15.44GB,4.11GB,9.24GB,73.4%,2022-04-07 15:49:32.849972
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.6%,15.44GB,4.13GB,9.23GB,73.3%,2022-04-07 15:50:04.591218
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.4%,15.44GB,4.12GB,9.24GB,73.3%,2022-04-07 15:50:36.352840
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,58.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.12GB,9.24GB,73.3%,2022-04-07 15:51:08.082520
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,16.5%,15.44GB,4.08GB,9.25GB,73.6%,2022-04-07 15:51:39.832773
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,15.6%,15.44GB,4.12GB,9.24GB,73.3%,2022-04-07 15:52:11.571539
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,15.9%,15.44GB,4.11GB,9.24GB,73.4%,2022-04-07 15:52:43.320764
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,17.2%,15.44GB,4.11GB,9.24GB,73.3%,2022-04-07 15:53:15.065551
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,33.1%,15.44GB,3.43GB,9.88GB,77.8%,2022-04-07 15:53:46.809502
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,53.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,26.5%,15.44GB,3.40GB,9.91GB,78.0%,2022-04-07 15:54:18.625901
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,26.1%,15.44GB,3.48GB,9.83GB,77.5%,2022-04-07 15:54:50.363955
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,24.0%,15.44GB,3.47GB,9.85GB,77.5%,2022-04-07 15:55:22.100173
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,19.7%,15.44GB,3.50GB,9.86GB,77.3%,2022-04-07 15:55:53.838679
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,3.55GB,9.83GB,77.0%,2022-04-07 15:56:25.585566
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.6%,15.44GB,3.54GB,9.85GB,77.1%,2022-04-07 15:56:57.328113
